scenario,method,rep,effort,saved-effort
acotsp,PEWW,14,55726.438160800906,0.5353202670949311
acotsp,PEMW.5,14,30136.843598651874,0.7487013185085626
acotsp,AD.6,14,82716.82077527043,0.31025862313866026
acotsp,AD.2,14,103862.3855937006,0.13393449878673458
acotsp,PEMB.5,14,25224.55217871665,0.7896628861289567
acotsp,PEMW.7,14,71695.95720882407,0.4021570488672552
acotsp,PEMB.9,14,64138.95330553053,0.4651717806757404
acotsp,PD.4,14,76728.06608481404,0.3601963730082144
acotsp,PD.8,14,51988.13205118176,0.5664924564877413
acotsp,PD.6,14,65621.23685426704,0.4528116308752285
acotsp,no capping,14,119924.40000000055,0.0
acotsp,PEMW.9,14,97310.14309334764,0.1885709405813396
acotsp,AD.8,14,64858.03516898152,0.4591756542540032
acotsp,AEWW,14,93465.70326943409,0.2206281351465285
acotsp,PEMB.7,14,29311.655865144712,0.7555822179210855
acotsp,AD.4,14,93619.64607992176,0.21934446968322266
acotsp,PD.2,14,72341.84274692532,0.39677127634639003
acotsp,PEBB,14,26182.08862466811,0.7816783855106384
acotsp,AEBB,14,58420.747293043125,0.5128535369529232
acotsp,PEWW,18,45889.361953926054,0.6169259322467373
acotsp,PEMW.5,18,26567.753434181195,0.7782183724995815
acotsp,AD.6,18,81774.66775865556,0.31736347415482635
acotsp,AD.2,18,98533.83333878523,0.17746173097137208
acotsp,PEMB.5,18,25312.880990600584,0.7886937652922846
acotsp,PEMW.7,18,55633.225945186576,0.5355863481724512
acotsp,PEMB.9,18,57911.581275272336,0.5165671505431713
acotsp,PD.4,18,74802.62412033085,0.3755645256265784
acotsp,PD.8,18,48675.040622234315,0.5936717135458158
acotsp,PD.6,18,61746.34505586617,0.4845554053857672
acotsp,no capping,18,119792.40000000027,0.0
acotsp,PEMW.9,18,86203.8699903489,0.2803894905657729
acotsp,AD.8,18,66664.97109622954,0.4434958219700968
acotsp,AEWW,18,81198.55020680431,0.3221727738420457
acotsp,PEMB.7,18,29957.663668441768,0.7499201646478266
acotsp,AD.4,18,88888.01592979439,0.25798284423891504
acotsp,PD.2,18,74784.42643880844,0.3757164357771589
acotsp,PEBB,18,26307.813159704197,0.7803882954202092
acotsp,AEBB,18,50911.17865824697,0.5750049363878941
acotsp,PEWW,2,60224.5441580295,0.4949825399067079
acotsp,PEMW.5,2,39730.86493902203,0.6668338336249677
acotsp,AD.6,2,86012.32579135899,0.2787371508551718
acotsp,AD.2,2,102519.1391159059,0.14031802197770804
acotsp,PEMB.5,2,26389.39052019118,0.7787097742251636
acotsp,PEMW.7,2,61672.28479099268,0.4828424015701782
acotsp,PEMB.9,2,63841.883716344775,0.4646490660452571
acotsp,PD.4,2,84532.72492661483,0.2911444555697449
acotsp,PD.8,2,52437.54971718785,0.5602809694631917
acotsp,PD.6,2,69165.68135194771,0.4200059591928759
acotsp,no capping,2,119252.40000000039,0.0
acotsp,PEMW.9,2,96641.94922218344,0.1896016413742354
acotsp,AD.8,2,70212.62685947413,0.4112267186281039
acotsp,AEWW,2,95555.1929107667,0.1987147184394915
acotsp,PEMB.7,2,35650.523919582345,0.7010498411807038
acotsp,AD.4,2,96187.80871191033,0.1934098708964347
acotsp,PD.2,2,82324.39004206662,0.3096626144038497
acotsp,PEBB,2,26828.384746170035,0.7750285550129813
acotsp,AEBB,2,54121.88737564085,0.5461568289137939
acotsp,PEWW,16,52412.54834446903,0.5625529080390134
acotsp,PEMW.5,16,31133.99673013686,0.7401485567690687
acotsp,AD.6,16,81239.22504205705,0.3219588844593503
acotsp,AD.2,16,91992.43654046065,0.2322101268087504
acotsp,PEMB.5,16,25481.008629798893,0.787329685782878
acotsp,PEMW.7,16,68181.3036474704,0.43094327696733015
acotsp,PEMB.9,16,64368.999915790526,0.4627616340930882
acotsp,PD.4,16,66004.902448368,0.4491080181516465
acotsp,PD.8,16,54622.871842288936,0.5441050436066329
acotsp,PD.6,16,66606.75047616952,0.4440848571361983
acotsp,no capping,16,119814.60000000047,0.0
acotsp,PEMW.9,16,90860.41870431905,0.2416582060590388
acotsp,AD.8,16,65842.93541622159,0.4504598319718854
acotsp,AEWW,16,87043.17067251213,0.27351782944222336
acotsp,PEMB.7,16,31585.857320642466,0.7363772251408229
acotsp,AD.4,16,89017.59703369145,0.2570388163571794
acotsp,PD.2,16,81737.96446166036,0.31779629142308163
acotsp,PEBB,16,26557.94339046478,0.7783413424535518
acotsp,AEBB,16,58777.67721529005,0.5094280896043568
acotsp,PEWW,9,45538.00215458867,0.6167531647900001
acotsp,PEMW.5,9,47330.41662297247,0.6016682436276541
acotsp,AD.6,9,87055.59661798485,0.2673419932235841
acotsp,AD.2,9,105359.27527050996,0.11329863197844815
acotsp,PEMB.5,9,25533.32930984496,0.7851120561426131
acotsp,PEMW.7,9,60622.88449664112,0.4897991232516569
acotsp,PEMB.9,9,53881.92788529394,0.5465308674071568
acotsp,PD.4,9,84248.66302866934,0.29096508523139664
acotsp,PD.8,9,51042.04390020367,0.5704312692287976
acotsp,PD.6,9,67778.85867857927,0.4295746002529922
acotsp,no capping,9,118821.60000000036,0.0
acotsp,PEMW.9,9,85981.54159183503,0.27638121695184403
acotsp,AD.8,9,69995.14706249235,0.4109223654411981
acotsp,AEWW,9,89289.25348854074,0.2485435856061485
acotsp,PEMB.7,9,30531.4676996231,0.7430478322154979
acotsp,AD.4,9,97328.82090821287,0.18088276114601576
acotsp,PD.2,9,87174.56713480952,0.2663407399428281
acotsp,PEBB,9,25849.18191785812,0.7824538474666387
acotsp,AEBB,9,54462.80532212256,0.5416422155389056
acotsp,PEWW,5,42912.77537894245,0.6419782332593951
acotsp,PEMW.5,5,38407.83962335585,0.6795629628422661
acotsp,AD.6,5,85546.46344037063,0.28628489514194544
acotsp,AD.2,5,103017.33569188144,0.14052521181336142
acotsp,PEMB.5,5,29003.065909481036,0.7580270955184604
acotsp,PEMW.7,5,60313.11168236725,0.4968070321375544
acotsp,PEMB.9,5,65463.26491479871,0.4538392459019257
acotsp,PD.4,5,76651.65207867617,0.3604944061888801
acotsp,PD.8,5,51665.42973256107,0.5689547397267425
acotsp,PD.6,5,63360.98099741929,0.4713786242256096
acotsp,no capping,5,119860.80000000045,0.0
acotsp,PEMW.9,5,88651.48205518739,0.2603796899804853
acotsp,AD.8,5,66949.90996136662,0.4414361495888033
acotsp,AEWW,5,93616.66183471693,0.21895513933899516
acotsp,PEMB.7,5,34122.56975932121,0.7153150174258717
acotsp,AD.4,5,91774.03973927512,0.2343281561671975
acotsp,PD.2,5,82743.61872482307,0.309669060069491
acotsp,PEBB,5,27126.725051736827,0.7736814283590905
acotsp,AEBB,5,54701.664815521224,0.5436233963437502
acotsp,PEWW,3,59475.7116687774,0.4990059278848643
acotsp,PEMW.5,3,39984.84132847783,0.6631874101550626
acotsp,AD.6,3,79743.7048766136,0.32827834571914594
acotsp,AD.2,3,101551.519892359,0.14458006381346802
acotsp,PEMB.5,3,29903.34909825324,0.74810893027987
acotsp,PEMW.7,3,69586.0047702312,0.4138418034203572
acotsp,PEMB.9,3,68952.83909673686,0.4191752788876877
acotsp,PD.4,3,77643.40304040903,0.3459702528870834
acotsp,PD.8,3,54367.32626318928,0.5420364479824094
acotsp,PD.6,3,66776.44183592786,0.4375081763955846
acotsp,no capping,3,118715.40000000045,0.0
acotsp,PEMW.9,3,98357.22939448383,0.17148719210411234
acotsp,AD.8,3,66923.63056635852,0.4362683310980861
acotsp,AEWW,3,92919.60161385564,0.2172910876444396
acotsp,PEMB.7,3,35279.36460189818,0.7028240261844878
acotsp,AD.4,3,96800.40709700607,0.1846010955865397
acotsp,PD.2,3,87009.33323717117,0.26707627454255434
acotsp,PEBB,3,28558.152078628522,0.7594402067581087
acotsp,AEBB,3,58241.30364799496,0.509403972458546
acotsp,PEWW,8,52834.62861733433,0.5596145433884274
acotsp,PEMW.5,8,33765.391091871265,0.7185598240623674
acotsp,AD.6,8,85790.93212656978,0.2849182476263986
acotsp,AD.2,8,98024.65576443687,0.18294811721548265
acotsp,PEMB.5,8,24629.07731666565,0.7947125257834593
acotsp,PEMW.7,8,61578.529534101435,0.4867326684028717
acotsp,PEMB.9,8,53962.41876964567,0.5502142240489116
acotsp,PD.4,8,73338.28256506918,0.3887131621867732
acotsp,PD.8,8,51284.87674078937,0.5725319841966132
acotsp,PD.6,8,72417.2965407371,0.39638973456879795
acotsp,no capping,8,119973.60000000037,0.0
acotsp,PEMW.9,8,86594.30431523331,0.2782220062144252
acotsp,AD.8,8,69299.52375750539,0.4223768916036097
acotsp,AEWW,8,82232.07746987347,0.3145818957681256
acotsp,PEMB.7,8,27116.45198731422,0.7739798423376965
acotsp,AD.4,8,92119.3490006924,0.2321698356914179
acotsp,PD.2,8,69083.42796463959,0.4241780861402895
acotsp,PEBB,8,25725.8426144123,0.7855708037900653
acotsp,AEBB,8,51982.10565781592,0.5667204646870999
acotsp,PEWW,6,52633.50964322088,0.5618299713687451
acotsp,PEMW.5,6,34961.96697530745,0.7089442415218352
acotsp,AD.6,6,79371.04264097214,0.3392420102282374
acotsp,AD.2,6,95645.24751257915,0.2037604726511324
acotsp,PEMB.5,6,26155.82318372726,0.7822547295254529
acotsp,PEMW.7,6,66444.99715528483,0.4468503714974161
acotsp,PEMB.9,6,62311.00616254803,0.4812655371196109
acotsp,PD.4,6,70974.12841358178,0.4091456927371562
acotsp,PD.8,6,52644.85755920407,0.5617355008174754
acotsp,PD.6,6,67147.94000439638,0.4409984248875625
acotsp,no capping,6,120121.20000000045,0.0
acotsp,PEMW.9,6,93103.27628355043,0.2249221928889316
acotsp,AD.8,6,59486.883835411056,0.504776144132669
acotsp,AEWW,6,86390.5405871869,0.2808052151727873
acotsp,PEMB.7,6,30510.747372388832,0.7460003115820628
acotsp,AD.4,6,90524.86114945426,0.24638730590891603
acotsp,PD.2,6,75009.62630491251,0.3755504748128371
acotsp,PEBB,6,27117.99296216965,0.7742447381297427
acotsp,AEBB,6,54469.309837055196,0.5465470721483385
acotsp,PEWW,12,34723.71444702146,0.7079223112126545
acotsp,PEMW.5,12,39422.07009882926,0.6684022056670711
acotsp,AD.6,12,82790.16356024741,0.30361253074186606
acotsp,AD.2,12,101601.5017899992,0.14538141173166366
acotsp,PEMB.5,12,25576.838218927376,0.7848610405758893
acotsp,PEMW.7,12,47321.8552218437,0.6019533531352639
acotsp,PEMB.9,12,53307.86627349853,0.5516021651685967
acotsp,PD.4,12,78288.46427788734,0.34147846596643605
acotsp,PD.8,12,56613.413604688605,0.5237976333076918
acotsp,PD.6,12,69911.44249825474,0.4119415831553929
acotsp,no capping,12,118885.20000000045,0.0
acotsp,PEMW.9,12,79531.81553387642,0.3310200467856711
acotsp,AD.8,12,65471.277574062326,0.4492899236064533
acotsp,AEWW,12,81353.26230115893,0.3156989911178294
acotsp,PEMB.7,12,28841.585431146617,0.757399697934255
acotsp,AD.4,12,88733.83957152373,0.2536174429489676
acotsp,PD.2,12,79937.54740428926,0.32760724291763
acotsp,PEBB,12,27261.9996219635,0.7706863459710427
acotsp,AEBB,12,49305.19026727675,0.5852705781100038
acotsp,PEWW,1,50572.80022220607,0.5784293112347666
acotsp,PEMW.5,1,40185.86400170324,0.6650139543116438
acotsp,AD.6,1,86010.99680795669,0.2830194292901093
acotsp,AD.2,1,101002.78679580695,0.15804910525757387
acotsp,PEMB.5,1,27478.654502344107,0.7709402039436889
acotsp,PEMW.7,1,60625.10451889032,0.4946341322569149
acotsp,PEMB.9,1,69346.76096186633,0.4219311239662116
acotsp,PD.4,1,79266.61287474628,0.3392400571281591
acotsp,PD.8,1,54846.01765456193,0.5428081233969047
acotsp,PD.6,1,71076.52961645117,0.4075119152232943
acotsp,no capping,1,119962.8000000003,0.0
acotsp,PEMW.9,1,93180.31458287252,0.2232565880183499
acotsp,AD.8,1,71775.94242215155,0.4016816677990896
acotsp,AEWW,1,92623.78014326107,0.2278958131749105
acotsp,PEMB.7,1,36413.723039913166,0.6964582100458385
acotsp,AD.4,1,93809.0517303468,0.21801548704809687
acotsp,PD.2,1,81463.21423587803,0.3209293694722212
acotsp,PEBB,1,28722.62439913749,0.7605705735516559
acotsp,AEBB,1,64206.77799835201,0.4647775977356993
acotsp,PEWW,10,47277.114131784416,0.6060910134295148
acotsp,PEMW.5,10,35219.83042135238,0.7065512994344938
acotsp,AD.6,10,83629.54992980968,0.3032055389766287
acotsp,AD.2,10,96659.38116483699,0.19464206780816676
acotsp,PEMB.5,10,26521.179631090155,0.7790277350259616
acotsp,PEMW.7,10,54165.26224064823,0.5486995357401903
acotsp,PEMB.9,10,54199.74654502868,0.5484122153814808
acotsp,PD.4,10,68817.92230210299,0.4266147896349055
acotsp,PD.8,10,53396.32232942577,0.5551062791873247
acotsp,PD.6,10,60590.305069637245,0.4951666127621882
acotsp,no capping,10,120020.40000000036,0.0
acotsp,PEMW.9,10,83859.16392707825,0.3012924142305975
acotsp,AD.8,10,65373.863646173435,0.4553104001805256
acotsp,AEWW,10,89485.79613122944,0.25441178223677663
acotsp,PEMB.7,10,29704.958430957784,0.7525007546137349
acotsp,AD.4,10,93435.33098859804,0.22150458598206835
acotsp,PD.2,10,80941.56559419633,0.32560160110951064
acotsp,PEBB,10,26033.076918029765,0.7830945662734861
acotsp,AEBB,10,57235.9096027851,0.5231151570667576
acotsp,PEWW,17,52236.03153972623,0.5639016772382954
acotsp,PEMW.5,17,34999.08968515395,0.7078062046448848
acotsp,AD.6,17,85863.60177183156,0.28315816467609645
acotsp,AD.2,17,99585.98740329752,0.16859530104009313
acotsp,PEMB.5,17,25332.108099174497,0.7885120762731264
acotsp,PEMW.7,17,60405.7967521667,0.4956954831327453
acotsp,PEMB.9,17,59467.368634891514,0.5035300547093571
acotsp,PD.4,17,79354.62186045645,0.3374991078635886
acotsp,PD.8,17,51844.38120174404,0.5671714136724884
acotsp,PD.6,17,66725.65744857783,0.4429334227588351
acotsp,no capping,17,119780.40000000036,0.0
acotsp,PEMW.9,17,93434.29720010773,0.2199533713353149
acotsp,AD.8,17,65010.14333844183,0.4572555832302978
acotsp,AEWW,17,90000.44390306485,0.2486212777460705
acotsp,PEMB.7,17,31999.49284887313,0.7328486726636994
acotsp,AD.4,17,93427.48707361237,0.22001022643427395
acotsp,PD.2,17,70106.20453805917,0.4147105491544613
acotsp,PEBB,17,27318.829995155327,0.7719257074182817
acotsp,AEBB,17,56215.03860926626,0.5306824938865949
acotsp,PEWW,19,36518.62814640998,0.6931202561146329
acotsp,PEMW.5,19,34339.59664282797,0.7114314759955236
acotsp,AD.6,19,78615.97917275429,0.33936040923804833
acotsp,AD.2,19,90018.71779417997,0.24353891524036386
acotsp,PEMB.5,19,24195.30925526618,0.7966777317670608
acotsp,PEMW.7,19,48022.515836048115,0.5964487685185353
acotsp,PEMB.9,19,52646.24477996824,0.5575938381411725
acotsp,PD.4,19,73603.13441238401,0.381485225921524
acotsp,PD.8,19,54241.18518977162,0.5441909550287355
acotsp,PD.6,19,64247.4880561828,0.4601042349971794
acotsp,no capping,19,118999.8000000003,0.0
acotsp,PEMW.9,19,78342.06850905422,0.34166218338977017
acotsp,AD.8,19,66576.5901239395,0.4405319158188557
acotsp,AEWW,19,71840.29122371675,0.3962990591268509
acotsp,PEMB.7,19,33190.00221447944,0.7210919496126937
acotsp,AD.4,19,88385.61832346924,0.2572624632691062
acotsp,PD.2,19,72678.82272768018,0.3892525640574186
acotsp,PEBB,19,24838.42674283981,0.7912733740490341
acotsp,AEBB,19,53154.24781670568,0.5533248978846557
acotsp,PEWW,7,55238.46019897458,0.5400106906446158
