scenario,method,iterations,executions,configurations,instances
acotsp,PEWW,9,962,174,13
acotsp,PEMW.5,5,846,152,12
acotsp,AD.6,7,536,87,15
acotsp,AD.2,6,372,70,10
acotsp,PEMB.5,16,5095,991,21
acotsp,PEMW.3,7,647,114,14
acotsp,PEMB.1,7,654,108,15
acotsp,PD.4,10,523,90,15
acotsp,PD.8,6,979,166,12
acotsp,PD.6,7,592,82,17
acotsp,no capping,7,326,56,13
acotsp,PEMW.1,6,416,79,10
acotsp,AD.8,7,757,123,15
acotsp,AEWW,7,456,79,13
acotsp,PEMB.3,9,1665,302,16
acotsp,AD.4,8,448,79,12
acotsp,PD.2,7,504,85,12
acotsp,PEBB,13,3014,576,17
acotsp,AEBB,9,632,119,13
acotsp,PEWW,9,822,132,16
acotsp,PEMW.5,9,1064,199,13
acotsp,AD.6,7,494,89,12
acotsp,AD.2,7,385,63,12
acotsp,PEMB.5,18,8265,1605,22
acotsp,PEMW.3,6,608,104,12
acotsp,PEMB.1,6,654,112,12
acotsp,PD.4,10,513,79,16
acotsp,PD.8,11,1038,159,19
acotsp,PD.6,8,647,88,18
acotsp,no capping,7,333,58,11
acotsp,PEMW.1,6,468,86,11
acotsp,AD.8,8,636,110,16
acotsp,AEWW,6,429,73,13
acotsp,PEMB.3,7,2191,379,12
acotsp,AD.4,6,407,67,11
acotsp,PD.2,7,449,73,14
acotsp,PEBB,18,3962,730,25
acotsp,AEBB,9,689,117,16
acotsp,PEWW,9,877,138,17
acotsp,PEMW.5,8,1370,245,16
acotsp,AD.6,7,506,78,16
acotsp,AD.2,6,382,60,11
acotsp,PEMB.5,18,6799,1318,22
acotsp,PEMW.3,8,575,93,13
acotsp,PEMB.1,6,675,105,14
acotsp,PD.4,7,483,70,15
acotsp,PD.8,9,925,150,15
acotsp,PD.6,8,671,100,15
acotsp,no capping,5,293,51,10
acotsp,PEMW.1,6,403,70,11
acotsp,AD.8,6,620,98,13
acotsp,AEWW,6,425,73,12
acotsp,PEMB.3,7,1496,238,15
acotsp,AD.4,6,433,72,11
acotsp,PD.2,7,456,71,12
acotsp,PEBB,15,4359,838,19
acotsp,AEBB,7,705,112,15
acotsp,PEWW,9,1156,215,13
acotsp,PEMW.5,11,1329,244,15
acotsp,AD.6,7,468,78,14
acotsp,AD.2,7,382,62,13
acotsp,PEMB.5,14,5367,1033,18
acotsp,PEMW.3,5,470,83,12
acotsp,PEMB.1,7,693,125,12
acotsp,PD.4,7,471,79,13
acotsp,PD.8,9,904,151,16
acotsp,PD.6,8,626,88,16
acotsp,no capping,6,266,48,10
acotsp,PEMW.1,5,366,61,11
acotsp,AD.8,7,603,107,12
acotsp,AEWW,6,431,73,11
acotsp,PEMB.3,8,1525,245,16
acotsp,AD.4,7,415,63,15
acotsp,PD.2,6,445,68,12
acotsp,PEBB,14,3552,689,18
